config,ctx_target,prompt_tokens,prefill_tok_s,gen_tok_s,accepted_per_pass,saturation,cold_ttft_s,warm_ttft_s,out_tokens,reps,date
as-published-mtp2,512,325,664.0,33.53,2.814,0.938,0.489,0.487,272,2,2026-09-02
as-published-mtp2,1024,1095,1064.6,33.22,2.842,0.947,1.029,0.901,269,2,2026-09-02
as-published-mtp2,2048,2296,1140.9,34.05,2.832,0.944,2.012,1.496,268,2,2026-09-02
as-published-mtp2,4096,4293,1267.0,33.37,2.781,0.927,3.388,1.716,268,2,2026-09-02
as-published-mtp2,8192,8128,1306.6,34.29,2.912,0.971,6.221,1.258,264,2,2026-09-02
as-published-mtp2,16384,16516,1307.6,34.21,2.86,0.953,12.631,1.477,265,2,2026-09-02
as-published-mtp2,32768,33134,1494.8,33.73,2.86,0.953,22.166,1.839,265,2,2026-09-02
as-published-mtp2,65536,65604,1827.3,33.58,2.797,0.932,35.903,1.364,220,2,2026-09-02
as-published-mtp2,131072,132140,1774.4,33.92,2.824,0.941,74.47,2.24,208,2,2026-09-02
as-published-mtp2,259000,260318,1617.9,33.91,2.861,0.954,160.894,2.828,225,2,2026-09-02
hybrid-mtp2,512,323,114.9,36.77,2.896,0.965,2.811,0.451,277,2,2026-09-02
hybrid-mtp2,8192,8160,1171.1,39.9,2.875,0.958,6.968,1.206,277,2,2026-09-02
hybrid-mtp2,32768,32740,1374.4,40.66,2.891,0.964,23.821,1.567,265,2,2026-09-02
hybrid-mtp2,65536,65841,1758.6,38.95,2.755,0.918,37.44,1.515,271,2,2026-09-02
hybrid-mtp2,131072,130656,1752.1,39.09,2.802,0.934,74.571,2.084,226,2,2026-09-02
hybrid-mtp2,259000,257333,1650.6,40.58,2.851,0.95,155.906,2.803,210,2,2026-09-02
hybrid-mtp3,512,324,115.8,42.16,3.623,0.906,2.799,0.494,280,2,2026-09-02
hybrid-mtp3,8192,8162,1201.8,44.28,3.645,0.911,6.792,1.253,277,2,2026-09-02
hybrid-mtp3,32768,32741,1387.6,45.19,3.681,0.92,23.595,1.629,265,2,2026-09-02
hybrid-mtp3,65536,65840,1804.8,45.96,3.714,0.928,36.481,1.451,209,2,2026-09-02
hybrid-mtp3,131072,130656,1753.7,46.12,3.696,0.924,74.501,2.121,208,2,2026-09-02
hybrid-mtp3,259000,257331,1655.1,42.58,3.487,0.872,155.482,2.795,272,2,2026-09-02
hybrid-mtp4,512,322,109.9,41.66,4.364,0.873,2.931,0.488,287,2,2026-09-02
hybrid-mtp4,8192,8160,1219.7,41.26,4.269,0.854,6.69,1.196,220,2,2026-09-02
hybrid-mtp4,32768,32740,1256.0,47.08,4.458,0.892,26.067,1.458,264,2,2026-09-02
hybrid-mtp4,65536,65841,1745.9,44.06,4.226,0.845,37.711,2.064,225,2,2026-09-02
hybrid-mtp4,131072,130657,1739.2,42.78,4.119,0.824,75.124,2.36,277,2,2026-09-02
hybrid-mtp4,259000,257334,1640.3,44.19,4.348,0.87,156.88,2.272,199,2,2026-09-02
hybrid-mtp3-stock-topk,512,324,113.7,42.95,3.72,0.93,2.849,0.425,279,2,2026-09-02
hybrid-mtp3-stock-topk,8192,8162,1402.4,43.52,3.67,0.917,5.82,1.049,265,2,2026-09-02
hybrid-mtp3-stock-topk,32768,32741,1625.6,46.12,3.698,0.924,20.14,1.383,265,2,2026-09-02
hybrid-mtp3-stock-topk,65536,65842,2165.2,45.7,3.692,0.923,30.409,1.3,209,2,2026-09-02
hybrid-mtp3-stock-topk,131072,130655,2165.3,47.89,3.714,0.928,60.341,1.922,209,2,2026-09-02
hybrid-mtp3-stock-topk,259000,257333,1990.9,43.9,3.622,0.905,129.253,2.524,194,2,2026-09-02
